location,shot_number,shots_made,shot_made_streak,made_miss_streak
left_corner,1,0,0,miss_1
left_corner,2,1,1,make_1
left_corner,3,1,2,make_2
left_corner,4,1,3,make_3
left_corner,5,0,0,miss_1
left_corner,6,1,1,make_1
left_corner,7,1,2,make_2
left_corner,8,0,0,miss_1
left_corner,9,0,0,miss_2
left_corner,10,1,1,make_1
left_corner,11,1,2,make_2
left_corner,12,0,0,miss_1
left_corner,13,0,0,miss_2
left_corner,14,0,0,miss_3
left_corner,15,1,1,make_1
left_corner,16,0,0,miss_1
left_corner,17,1,1,make_1
left_corner,18,1,2,make_2
left_corner,19,1,3,make_3
left_corner,20,1,4,make_4
left_wing,21,1,5,make_5
left_wing,22,0,0,miss_1
left_wing,23,0,0,miss_2
left_wing,24,0,0,miss_3
left_wing,25,0,0,miss_4
left_wing,26,1,1,make_1
left_wing,27,0,0,miss_1
left_wing,28,0,0,miss_2
left_wing,29,1,1,make_1
left_wing,30,1,2,make_2
left_wing,31,1,3,make_3
left_wing,32,0,0,miss_1
left_wing,33,0,0,miss_2
left_wing,34,0,0,miss_3
left_wing,35,0,0,miss_4
left_wing,36,1,1,make_1
left_wing,37,1,2,make_2
left_wing,38,1,3,make_3
left_wing,39,0,0,miss_1
left_wing,40,1,1,make_1
top_key,41,1,2,make_2
top_key,42,0,0,miss_1
top_key,43,1,1,make_1
top_key,44,0,0,miss_1
top_key,45,0,0,miss_2
top_key,46,1,1,make_1
top_key,47,1,2,make_2
top_key,48,1,3,make_3
top_key,49,1,4,make_4
top_key,50,0,0,miss_1
top_key,51,0,0,miss_2
top_key,52,0,0,miss_3
top_key,53,1,1,make_1
top_key,54,0,0,miss_1
top_key,55,1,1,make_1
top_key,56,1,2,make_2
top_key,57,1,3,make_3
top_key,58,0,0,miss_1
top_key,59,0,0,miss_2
top_key,60,1,1,make_1
right_wing,61,0,0,miss_1
right_wing,62,0,0,miss_1
right_wing,63,1,1,make_1
right_wing,64,1,2,make_2
right_wing,65,1,3,make_3
right_wing,66,0,0,miss_1
right_wing,67,1,1,make_1
right_wing,68,0,0,miss_1
right_wing,69,0,0,miss_2
right_wing,70,0,0,miss_3
right_wing,71,1,1,make_1
right_wing,72,1,2,make_2
right_wing,73,1,3,make_3
right_wing,74,0,0,miss_1
right_wing,75,1,1,make_1
right_wing,76,1,2,make_2
right_wing,77,0,0,miss_1
right_wing,78,0,0,miss_2
right_wing,79,1,1,make_1
right_wing,80,0,0,miss_1
right_corner,81,0,0,miss_2
right_corner,82,1,1,make_1
right_corner,83,1,2,make_2
right_corner,84,1,3,make_3
right_corner,85,0,0,miss_1
right_corner,86,0,0,miss_2
right_corner,87,0,0,miss_3
right_corner,88,0,0,miss_4
right_corner,89,1,1,make_1
right_corner,90,1,2,make_2
right_corner,91,0,0,miss_1
right_corner,92,0,0,miss_2
right_corner,93,0,0,miss_3
right_corner,94,1,1,make_1
right_corner,95,0,0,miss_1
right_corner,96,0,0,miss_2
right_corner,97,1,1,make_1
right_corner,98,0,0,miss_1
right_corner,99,1,1,make_1
right_corner,100,0,0,miss_1
