possession,player_name,shot_type,shot_value,shot_contestion ,field_goals_attempted,field_goals_made,three_pointers_attempted,three_pointers_made,make_miss,score
1,K,JS,3,high,1,0,1,0,miss,0
2,K,fadeaway,2,med,2,0,1,0,miss,0
3,K,JS,3,med,3,0,2,0,miss,0
4,K,layup,2,high,4,0,2,0,miss,0
5,K,JS,3,med,5,0,3,0,miss,0
6,K,JS,3,med,6,0,4,0,miss,0
7,K,fadeaway,2,high,7,0,4,0,miss,0
8,K,JS,3,low,8,0,5,0,miss,0
9,K,JS,3,low,9,1,6,1,make,3
10,K,fadeaway,2,med,10,2,6,1,make,5
11,K,JS,3,med,11,3,7,2,make,8
12,K,JS,3,high,12,3,8,2,miss,8
13,K,JS,3,low,13,4,9,3,make,11
14,K,JS,3,low,14,5,10,4,make,14
15,K,fadeaway,2,high,15,5,10,4,miss,14
16,K,JS,2,high,16,6,10,4,make,16
17,K,JS,3,high,17,6,11,4,miss,16
18,K,JS,3,low,18,6,12,4,miss,16
19,K,JS,2,high,19,6,12,4,miss,16
20,K,JS,3,med,20,6,13,4,miss,16
21,K,fadeaway,2,high,21,6,13,4,miss,16
22,K,JS,3,med,22,6,14,4,miss,16
23,K,JS,3,low,23,7,15,5,make,19
24,K,JS,3,high,24,8,16,6,make,22
25,K,fadeaway,2,high,25,8,16,6,miss,22
26,K,JS,3,high,26,8,17,6,miss,22
27,K,JS,3,high,27,8,18,6,miss,22
28,K,layup,2,high,28,8,18,6,miss,22
29,K,JS,3,high,29,9,19,7,make,25
30,K,fadeaway,2,med,30,9,19,7,miss,25
31,K,JS,3,low,31,9,20,7,miss,25
32,K,layup,2,high,32,9,20,7,miss,25
33,K,JS,3,low,33,9,21,7,miss,25
34,K,JS,3,high,34,9,22,7,miss,25
35,K,JS,3,low,35,9,23,7,miss,25
36,K,JS,3,low,36,9,24,7,miss,25
37,K,JS,3,med,37,10,25,8,make,28
38,K,layup,2,med,38,10,25,8,miss,28
39,K,fadeaway,2,med,39,10,25,8,miss,28
40,K,JS,3,low,40,11,26,9,make,31
41,K,JS,3,med,41,11,27,9,miss,31
42,K,JS,2,med,42,12,27,9,make,33
43,K,JS,3,med,43,12,28,9,miss,33
44,K,JS,3,low,44,12,29,9,miss,33
45,K,JS,3,low,45,12,30,9,miss,33
46,K,JS,3,high,46,13,31,10,make,36
47,K,layup,2,low,47,13,31,10,miss,36
48,K,layup,2,low,48,14,31,10,make,38
49,K,JS,2,high,49,14,31,10,miss,38
50,K,JS,3,med,50,14,32,10,miss,38
51,K,JS,3,high,51,14,33,10,miss,38
52,K,JS,3,med,52,15,34,11,make,41
53,K,JS,3,high,53,16,35,12,make,44
54,K,layup,2,high,54,16,35,12,miss,44
55,K,fadeaway,2,high,55,17,35,12,make,46
56,K,JS,3,med,56,17,36,12,miss,46
57,K,JS,3,low,57,18,37,13,make,49
58,K,JS,2,high,58,18,37,13,miss,49
59,K,fadeaway,2,high,59,18,37,13,miss,49
60,K,JS,3,low,60,18,38,14,miss,49
61,K,fadeaway,2,high,61,19,38,14,make,51
